  MQ2,MQ7,MQ135,MQ3,Temperature,Humidity,Radius,Lenth
  1709,  1033,  1077,    902 ,27.00 ,54.00 ,31 ,12
  1709,  1033,  1076,    902 ,27.00 ,54.00 ,31 ,12
  1710,  1035,  1076,    903 ,27.00 ,54.00 ,31 ,12
  1711,  1036,  1076,    902 ,27.00 ,54.00 ,31 ,12
  1710,  1035,  1075,    904 ,27.00 ,54.00 ,31 ,12
  1713,  1037,  1078,    903 ,27.00 ,54.00 ,31 ,12
  1712,  1036,  1077,    903 ,27.00 ,54.00 ,31 ,12
  1714,  1036,  1078,    903 ,27.00 ,54.00 ,31 ,12
  1715,  1036,  1077,    904 ,27.00 ,54.00 ,31 ,12
  1713,  1036,  1078,    904 ,27.00 ,54.00 ,31 ,12
  1718,  1036,  1077,    905 ,27.00 ,54.00 ,31 ,12
  1718,  1036,  1077,    905 ,27.00 ,54.00 ,31 ,12
  1716,  1037,  1077,    906 ,27.00 ,54.00 ,31 ,12
  1716,  1035,  1078,    906 ,27.00 ,54.00 ,31 ,12
  1715,  1037,  1078,    906 ,27.00 ,54.00 ,31 ,12
  1716,  1036,  1078,    906 ,27.00 ,54.00 ,31 ,12
  1713,  1036,  1077,    905 ,19.00 ,55.00 ,31 ,12
  1715,  1035,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1713,  1035,  1076,    906 ,27.00 ,55.00 ,31 ,12
  1713,  1035,  1075,    906 ,27.00 ,55.00 ,31 ,12
  1711,  1036,  1076,    906 ,27.00 ,55.00 ,31 ,12
  1712,  1036,  1076,    905 ,27.00 ,55.00 ,31 ,12
  1715,  1036,  1076,    906 ,27.00 ,55.00 ,31 ,12
  1714,  1036,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1714,  1036,  1075,    907 ,27.00 ,55.00 ,31 ,12
  1714,  1035,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1715,  1037,  1077,    908 ,27.00 ,55.00 ,31 ,12
  1714,  1037,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1717,  1037,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1718,  1036,  1077,    907 ,27.00 ,55.00 ,31 ,12
  1718,  1036,  1076,    907 ,27.00 ,55.00 ,31 ,12
  1718,  1037,  1075,    908 ,27.00 ,55.00 ,31 ,12
  1718,  1037,  1075,    908 ,27.00 ,55.00 ,31 ,12
  1718,  1035,  1075,    909 ,27.00 ,55.00 ,31 ,12
  1713,  1036,  1076,    909 ,27.00 ,55.00 ,31 ,12
  1713,  1036,  1074,    910 ,27.00 ,55.00 ,31 ,12
  1714,  1036,  1075,    908 ,27.00 ,55.00 ,31 ,12
